timestamp,open,high,low,close,volume
1750629600,6021.75,6045.75,6016.75,6043.5,11589
1750629780,6043,6048,6037.25,6042,3038
1750629960,6042,6051.75,6040,6050.75,2568
1750630140,6050.75,6053.75,6048,6053.25,2399
1750630320,6053.5,6055.5,6047.75,6048.5,1780
1750630500,6048.25,6053.75,6047.25,6047.25,1380
1750630680,6047.25,6050.75,6046,6049.5,805
1750630860,6049.75,6050.5,6045.75,6046.75,910
1750631040,6047,6051.25,6045.25,6051,774
1750631220,6051,6055.5,6050.5,6052.5,1029
1750631400,6053,6059.75,6052.5,6054.5,1463
1750631580,6054.25,6057.25,6054,6054.25,410
1750631760,6054.75,6058,6054,6057.75,513
1750631940,6058,6065.5,6057.5,6061,2302
1750632120,6061,6062,6058.25,6059.75,1463
1750632300,6059.75,6060.25,6058.25,6058.5,355
1750632480,6058.25,6059,6056,6057.5,548
1750632660,6057.5,6059.5,6057.25,6058,441
1750632840,6058,6058,6054.5,6057,571
1750633020,6057.25,6061.25,6056.75,6058.75,839
1750633200,6058.5,6059.25,6055,6055.75,445
1750633380,6055.75,6056,6052.75,6053.5,613
1750633560,6053.5,6057,6053.5,6054.25,551
1750633740,6054.75,6055.25,6052.75,6055,399
1750633920,6055.25,6056,6051.5,6054.25,703
1750634100,6054.25,6054.25,6051.75,6053.25,458
1750634280,6053,6055.5,6053,6053.75,401
1750634460,6053.75,6054.75,6051,6054.75,563
1750634640,6054.75,6057.25,6054.75,6056.5,372
1750634820,6056.25,6057.75,6055,6057,274
1750635000,6057,6058.75,6055.5,6058,352
1750635180,6058.25,6060.25,6055.75,6057,451
1750635360,6057,6057.5,6054.25,6054.5,239
1750635540,6054.75,6055.75,6054,6055.25,241
1750635720,6055.25,6055.5,6054.5,6055.25,120
1750635900,6055,6056.75,6053.75,6055.25,203
1750636080,6055.5,6058.25,6055,6057.75,295
1750636260,6057.75,6058.75,6056.5,6057,286
1750636440,6057,6058,6055,6057.5,277
1750636620,6057.5,6057.5,6056,6057,149
1750636800,6057,6057.25,6049.75,6051.5,891
1750636980,6051.75,6052,6048.25,6049.75,543
1750637160,6049.5,6057.5,6048,6055,757
1750637340,6055.25,6055.5,6051.25,6052.25,528
1750637520,6052,6052.75,6051,6051.25,266
1750637700,6051.5,6052,6049.5,6050,344
1750637880,6050,6050,6048.25,6048.5,390
1750638060,6048.5,6049.25,6047,6047.25,446
1750638240,6047.5,6049.75,6046.75,6049.5,464
1750638420,6049.5,6049.75,6048.25,6049,302
1750638600,6048.5,6049,6046.75,6048,294
1750638780,6048.25,6049.5,6047.25,6048,309
1750638960,6048,6051.75,6048,6050.5,350
1750639140,6050.5,6051.75,6050,6051.5,364
1750639320,6051.25,6051.75,6050.75,6051.25,166
1750639500,6051,6052.5,6050.75,6051.75,239
1750639680,6051.75,6052,6049.5,6050,196
1750639860,6050.25,6052.5,6049.75,6052.5,273
1750640040,6052.25,6053.75,6051.25,6052.25,363
1750640220,6052.25,6052.25,6050.75,6051.25,264
1750640400,6051.5,6051.75,6049.5,6051,414
1750640580,6051,6051.25,6049,6049.5,266
1750640760,6049.25,6051,6049.25,6050.5,193
1750640940,6050.5,6056,6050.5,6054,863
1750641120,6054,6054.75,6052.25,6053.75,324
1750641300,6053.75,6053.75,6051,6051.25,318
1750641480,6051,6051.5,6048.5,6049.5,351
1750641660,6049.25,6050.75,6049.25,6050.5,231
1750641840,6050,6050,6048.5,6049,168
1750642020,6049,6050.25,6049,6049,184
1750642200,6048.75,6049.25,6047.75,6048.75,240
1750642380,6049.25,6051,6049.25,6049.75,313
1750642560,6049.75,6050.75,6049.25,6050.5,254
1750642740,6050.25,6051,6050,6051,199
1750642920,6051,6051.75,6050.5,6050.75,234
1750643100,6050.5,6051.75,6050.5,6051.25,125
1750643280,6051.5,6052.25,6051.25,6052,206
1750643460,6052,6052.75,6051,6052,201
1750643640,6052,6052.75,6051.25,6052.75,136
1750643820,6052.5,6054.25,6052.25,6054,536
1750644000,6054,6056.75,6053.5,6053.75,683
1750644180,6053.5,6055.5,6053.5,6054.75,243
1750644360,6055,6055.75,6054.5,6055,127
1750644540,6055.25,6057.5,6055.25,6056.25,256
1750644720,6056.5,6058,6055.5,6056.5,411
1750644900,6056.25,6057.75,6056.25,6056.75,195
1750645080,6057,6057.25,6056.5,6057,120
1750645260,6057,6057.25,6056,6056,122
1750645440,6056.25,6057,6055.75,6056.5,214
1750645620,6056.25,6056.75,6056.25,6056.75,76
1750645800,6056.75,6058.25,6056.25,6057.25,326
1750645980,6057.75,6058,6056.75,6057.75,225
1750646160,6057.75,6059,6057.5,6058,163
1750646340,6058,6060.25,6058,6059.25,286
1750646520,6059.25,6060,6058.25,6058.5,145
1750646700,6058.5,6058.5,6056.5,6056.75,258
1750646880,6057,6057.25,6055.75,6056.5,177
1750647060,6056.25,6057.5,6056.25,6057,146
1750647240,6057.25,6058,6057,6057.75,139
1750647420,6057.25,6058.25,6057,6058,147
1750647600,6057.75,6058.25,6057,6057.25,133
1750647780,6057,6059.25,6057,6058.75,107
1750647960,6059,6059.5,6058,6058.75,140
1750648140,6059,6059.25,6057,6057.5,189
1750648320,6057.5,6058,6057,6057.5,145
1750648500,6057.25,6059.25,6057.25,6059,136
1750648680,6058.75,6059.5,6058.25,6058.75,100
1750648860,6058.75,6059.5,6058.5,6059,112
1750649040,6059.25,6059.25,6057.5,6057.75,171
1750649220,6057.75,6058.25,6057,6058.25,91
1750649400,6058.25,6059.5,6057.75,6059.25,92
1750649580,6059,6060,6058.5,6059.75,145
1750649760,6059.75,6060,6058.25,6060,159
1750649940,6060,6061.25,6059.5,6060.25,265
1750650120,6060.25,6060.5,6059.75,6060.5,148
1750650300,6060.5,6060.75,6059.5,6060,148
1750650480,6060,6060,6059.25,6059.75,251
1750650660,6060,6060.25,6058.25,6059,187
1750650840,6059,6059.5,6058.5,6058.5,129
1750651020,6058.5,6059.75,6058.25,6059.75,330
1750651200,6059.75,6060.75,6059.25,6060.25,152
1750651380,6060.5,6060.5,6059.25,6059.5,91
1750651560,6059.25,6059.5,6058.5,6059.25,194
1750651740,6059.25,6059.75,6058.25,6058.5,154
1750651920,6058.25,6059,6058.25,6058.75,61
1750652100,6058.75,6059.5,6058.5,6059.5,99
1750652280,6059.25,6061.5,6059.25,6060.75,251
1750652460,6060.75,6061.5,6059.75,6060,352
1750652640,6060.25,6060.5,6060,6060.5,64
1750652820,6060.5,6060.75,6059.75,6059.75,151
1750653000,6060,6060.5,6059.5,6059.5,92
1750653180,6059.5,6059.75,6058.25,6058.75,135
1750653360,6059,6059.5,6058.5,6058.75,132
1750653540,6059,6060.5,6058.75,6059.5,114
1750653720,6059.5,6060,6058.75,6059.5,126
1750653900,6059.5,6059.75,6059,6059.25,72
1750654080,6059,6059.5,6058.25,6059.25,363
1750654260,6059.25,6059.5,6058.75,6059,98
1750654440,6058.75,6059.5,6058.75,6059.25,76
1750654620,6059.25,6059.5,6059,6059.5,110
1750654800,6059.5,6060.5,6059.25,6060.25,159
1750654980,6060.5,6061.25,6059.75,6061,178
1750655160,6061,6066,6061,6064.5,958
1750655340,6064.5,6066,6064.25,6065.75,293
1750655520,6065.75,6068.75,6065.75,6066.75,616
1750655700,6066.75,6070,6066.5,6068.25,473
1750655880,6068,6068,6066.25,6066.25,257
1750656060,6066.25,6066.5,6064.5,6065.25,236
1750656240,6065,6066.25,6064.5,6065.5,171
1750656420,6065.75,6065.75,6064,6065.25,244
1750656600,6065.5,6065.5,6063.75,6064,203
1750656780,6064.25,6066.25,6063.75,6065,296
1750656960,6064.75,6065.75,6064.25,6064.75,149
1750657140,6064.75,6065.5,6064.5,6065,87
1750657320,6065,6066.75,6065,6066.75,147
1750657500,6066.5,6066.75,6065,6065.5,296
1750657680,6065.25,6065.75,6063,6064.5,490
1750657860,6064.5,6065,6063.5,6065,324
